Epoch 58, Loss 2.4869112968444824
Epoch 59, Loss 2.5200676918029785
Epoch 60, Loss 2.547696352005005
Epoch 61, Loss 2.5441813468933105
Epoch 62, Loss 2.513542890548706
Epoch 63, Loss 2.4809980392456055
Epoch 64, Loss 2.469475269317627
Epoch 65, Loss 2.4813036918640137
Epoch 66, Loss 2.499196767807007
Epoch 67, Loss 2.5037670135498047
Epoch 68, Loss 2.4905316829681396
Epoch 69, Loss 2.4712798595428467
Epoch 70, Loss 2.4609909057617188
Epoch 71, Loss 2.4643731117248535
Epoch 72, Loss 2.4737796783447266
Epoch 73, Loss 2.4780027866363525
Epoch 74, Loss 2.472407579421997
Epoch 75, Loss 2.461707353591919
Epoch 76, Loss 2.454352617263794
Epoch 77, Loss 2.4545764923095703
Epoch 78, Loss 2.459301710128784
Epoch 79, Loss 2.4620096683502197
Epoch 80, Loss 2.4591915607452393
Epoch 81, Loss 2.4530532360076904
Epoch 82, Loss 2.4485116004943848
Epoch 83, Loss 2.4482128620147705
Epoch 84, Loss 2.4505112171173096
Epoch 85, Loss 2.451742172241211
Epoch 86, Loss 2.44993257522583
Epoch 87, Loss 2.4463109970092773
Epoch 88, Loss 2.4436304569244385
Epoch 89, Loss 2.4433398246765137
Epoch 90, Loss 2.4444210529327393
Epoch 91, Loss 2.444758415222168
Epoch 92, Loss 2.4433541297912598
Epoch 93, Loss 2.44110369682312
Epoch 94, Loss 2.439600706100464
Epoch 95, Loss 2.439455986022949
Epoch 96, Loss 2.4398751258850098
Epoch 97, Loss 2.4396791458129883
Epoch 98, Loss 2.4385273456573486
Epoch 99, Loss 2.437105894088745
Epoch 100, Loss 2.436271905899048
Epoch 101, Loss 2.4361624717712402
Epoch 102, Loss 2.4361765384674072
Epoch 103, Loss 2.435702085494995
Epoch 104, Loss 2.4347476959228516
Epoch 105, Loss 2.4338197708129883
Epoch 106, Loss 2.4333064556121826
Epoch 107, Loss 2.433086633682251
Epoch 108, Loss 2.432722568511963
Epoch 109, Loss 2.4319498538970947
Epoch 110, Loss 2.4308512210845947
Epoch 111, Loss 2.4296181201934814
Epoch 112, Loss 2.4278783798217773
Epoch 113, Loss 2.4253387451171875
Epoch 114, Loss 3.1981306076049805
Epoch 115, Loss 2.509003162384033
Epoch 116, Loss 2.618199348449707
Epoch 117, Loss 2.620709180831909
Epoch 118, Loss 2.518704652786255
Epoch 119, Loss 2.434772253036499
Epoch 120, Loss 2.446808099746704
Epoch 121, Loss 2.514133930206299
Epoch 122, Loss 2.5469624996185303
Epoch 123, Loss 2.510286808013916
Epoch 124, Loss 2.4492812156677246
Epoch 125, Loss 2.4279165267944336
Epoch 126, Loss 2.4574882984161377
Epoch 127, Loss 2.491654396057129
Epoch 128, Loss 2.4869987964630127
Epoch 129, Loss 2.451809883117676
Epoch 130, Loss 2.4272780418395996
Epoch 131, Loss 2.4350082874298096
Epoch 132, Loss 2.4572412967681885
Epoch 133, Loss 2.464235782623291
Epoch 134, Loss 2.4487476348876953
Epoch 135, Loss 2.4296200275421143
Epoch 136, Loss 2.4266116619110107
Epoch 137, Loss 2.4382758140563965
Epoch 138, Loss 2.4469587802886963
Epoch 139, Loss 2.441638708114624
Epoch 140, Loss 2.429448366165161
Epoch 141, Loss 2.424158811569214
Epoch 142, Loss 2.4291865825653076
Epoch 143, Loss 2.435713768005371
Epoch 144, Loss 2.434966802597046
Epoch 145, Loss 2.4280645847320557
Epoch 146, Loss 2.4228832721710205
Epoch 147, Loss 2.4231340885162354
Epoch 148, Loss 2.705503225326538
Epoch 149, Loss 2.5048036575317383
Epoch 150, Loss 2.5684964656829834
Epoch 151, Loss 2.5340523719787598
Epoch 152, Loss 2.4532322883605957
Epoch 153, Loss 2.422422409057617
Epoch 154, Loss 2.4601237773895264
Epoch 155, Loss 2.502830743789673
Epoch 156, Loss 2.4948437213897705
Epoch 157, Loss 2.4493675231933594
Epoch 158, Loss 2.4207608699798584
Epoch 159, Loss 2.4351449012756348
Epoch 160, Loss 2.46392822265625
Epoch 161, Loss 2.4664580821990967
Epoch 162, Loss 2.4412763118743896
Epoch 163, Loss 2.4207284450531006
Epoch 164, Loss 2.4255189895629883
Epoch 165, Loss 2.442554235458374
Epoch 166, Loss 2.447176694869995
Epoch 167, Loss 2.434171676635742
Epoch 168, Loss 2.4202041625976562
Epoch 169, Loss 2.4203436374664307
Epoch 170, Loss 2.430304765701294
Epoch 171, Loss 2.4347753524780273
Epoch 172, Loss 2.427969455718994
Epoch 173, Loss 2.419020414352417
Epoch 174, Loss 2.4180238246917725
Epoch 175, Loss 2.4235808849334717
Epoch 176, Loss 2.4267261028289795
Epoch 177, Loss 2.423166036605835
Epoch 178, Loss 2.4175798892974854
Epoch 179, Loss 2.41634202003479
Epoch 180, Loss 2.4194278717041016
Epoch 181, Loss 2.421522617340088
Epoch 182, Loss 2.4195337295532227
Epoch 183, Loss 2.4160501956939697
Epoch 184, Loss 2.4150710105895996
Epoch 185, Loss 2.4167592525482178
